NEW_DIST,dem_votes_new,rep_votes_new,total_two_party
01,252630.403692549,226657.24113538515,479287.64482793416
02,327415.30760966823,303131.66174900066,630546.9693586689
03,206639.50532733795,195614.32832892772,402253.83365626563
04,214195.9239525069,163605.73282606524,377801.6567785721
05,235363.95910098698,309423.77636876033,544787.7354697473
06,177362.71536589108,154598.0306509805,331960.7460168716
07,194159.90427305346,152272.09918226738,346432.00345532084
08,230259.49924460394,119331.8369826935,349591.33622729743
09,169807.96895320684,119462.46359667949,289270.43254988635
10,252540.3044778759,131217.4053318602,383757.7098097361
11,284953.225706412,73797.22174515203,358750.447451564
12,199496.8668701738,3567.752851835844,203064.61972200964
13,225081.5172136122,174034.77116758103,399116.28838119324
14,195082.17495357414,98592.16639217448,293674.34134574863
15,226869.36975617395,90909.78188344942,317779.1516396234
16,183616.89502856144,3811.260887402392,187428.15591596384
17,182779.5418489287,87267.48469901869,270047.0265479474
18,196565.0013925968,126120.78171929343,322685.78311189025
19,317004.9687203963,158626.23952068086,475631.20824107714
20,27784.65397731427,128641.41108457194,156426.0650618862
21,95634.27675124808,87951.58764865682,183585.8643999049
22,87659.85822969019,95173.28210282586,182833.14033251605
23,105829.24275631212,163782.0462670412,269611.2890233533
24,235022.88002913995,144118.53047974317,379141.4105088831
25,164328.5135330725,124340.8905062434,288669.4040393159
26,225135.782478359,158128.02550415747,383263.8079825165
27,154017.53739658053,127968.56561736698,281986.1030139475
28,202009.29467828825,111899.27993516599,313908.5746134542
29,148357.81560449535,66252.63104583923,214610.44665033458
30,215198.54419060264,102753.5478105063,317952.0920011089
31,156467.41129051597,118223.17604603014,274690.5873365461
32,208660.51517569897,126975.46772701258,335635.98290271155
33,138641.52952586615,97537.49133616887,236179.02086203502
34,105394.88116206574,11.134015594711432,105406.01517766045
35,141372.57750699096,111263.7843499378,252636.36185692876
36,245954.10135069743,111958.97229232639,357913.07364302385
37,160386.48797210574,16.97533118587252,160403.46330329162
38,141367.90038580954,110617.05191083443,251984.95229664398
39,137138.49521742665,104802.51249390213,241941.0077113288
40,167287.33288184644,215066.1106129149,382353.44349476136
41,174247.0269170243,121650.86716228243,295897.89407930674
42,201841.6676960628,153535.6949171049,355377.36261316773
43,160112.50500146943,53157.778688433675,213270.2836899031
44,146757.48516314986,53597.58826506575,200355.0734282156
45,159840.26903607228,140437.8681480738,300278.1371841461
46,137689.69933273154,85687.3980046668,223377.09733739833
47,187800.3946682165,166233.19002649374,354033.5846947102
48,181089.31067282794,165234.54291027074,346323.8535830987
49,209550.04888563565,175464.46375807267,385014.5126437083
50,215439.59827208697,154187.5851413989,369627.1834134859
51,226035.14758598446,157515.35569520632,383550.50328119076
52,181960.35916264285,101884.6355746214,283844.99473726423
